0,"indepvar1 1 vs 0",0.721,0.328,1.587
0,"indepvar2",1.003,0.965,1.043
1,"indepvar1 1 vs 0",1.698,0.748,3.855
1,"indepvar2",1.020,0.981,1.060
2,"indepvar1 1 vs 0",1.384,0.626,3.058
2,"indepvar2",0.984,0.947,1.022
3,"indepvar1 1 vs 0",0.823,0.373,1.819
3,"indepvar2",0.987,0.951,1.025
4,"indepvar1 1 vs 0",0.840,0.378,1.869
4,"indepvar2",1.007,0.966,1.051
5,"indepvar1 1 vs 0",1.160,0.525,2.567
5,"indepvar2",0.976,0.936,1.017
6,"indepvar1 1 vs 0",0.970,0.435,2.163
6,"indepvar2",1.004,0.968,1.041
7,"indepvar1 1 vs 0",1.273,0.578,2.802
7,"indepvar2",1.002,0.965,1.041
8,"indepvar1 1 vs 0",0.524,0.236,1.165
8,"indepvar2",0.994,0.955,1.035
9,"indepvar1 1 vs 0",1.097,0.487,2.471
9,"indepvar2",1.013,0.972,1.055
10,"indepvar1 1 vs 0",0.943,0.428,2.074
10,"indepvar2",1.015,0.977,1.054
11,"indepvar1 1 vs 0",2.310,1.020,5.233
11,"indepvar2",1.001,0.960,1.043
12,"indepvar1 1 vs 0",2.062,0.928,4.583
12,"indepvar2",1.010,0.967,1.054
13,"indepvar1 1 vs 0",1.085,0.494,2.382
13,"indepvar2",1.011,0.973,1.050
14,"indepvar1 1 vs 0",0.894,0.402,1.985
14,"indepvar2",1.034,0.988,1.083
15,"indepvar1 1 vs 0",0.530,0.230,1.224
15,"indepvar2",0.999,0.964,1.037
16,"indepvar1 1 vs 0",0.996,0.429,2.313
16,"indepvar2",1.045,1.007,1.084
17,"indepvar1 1 vs 0",0.516,0.228,1.166
17,"indepvar2",0.986,0.944,1.030
18,"indepvar1 1 vs 0",0.972,0.431,2.190
18,"indepvar2",0.981,0.939,1.024
19,"indepvar1 1 vs 0",1.178,0.534,2.600
19,"indepvar2",0.974,0.934,1.015
20,"indepvar1 1 vs 0",0.732,0.328,1.631
20,"indepvar2",0.980,0.942,1.019
21,"indepvar1 1 vs 0",1.558,0.701,3.466
21,"indepvar2",0.999,0.954,1.045
22,"indepvar1 1 vs 0",1.367,0.593,3.152
22,"indepvar2",0.991,0.954,1.028
23,"indepvar1 1 vs 0",1.178,0.534,2.599
23,"indepvar2",1.011,0.970,1.055
24,"indepvar1 1 vs 0",1.897,0.826,4.357
24,"indepvar2",1.000,0.959,1.043
25,"indepvar1 1 vs 0",1.673,0.753,3.715
25,"indepvar2",1.013,0.978,1.049
26,"indepvar1 1 vs 0",1.310,0.588,2.918
26,"indepvar2",0.986,0.950,1.024
27,"indepvar1 1 vs 0",1.226,0.554,2.714
27,"indepvar2",0.982,0.941,1.025
28,"indepvar1 1 vs 0",1.304,0.576,2.953
28,"indepvar2",0.961,0.921,1.002
29,"indepvar1 1 vs 0",1.274,0.580,2.798
29,"indepvar2",1.003,0.961,1.047
30,"indepvar1 1 vs 0",0.889,0.400,1.978
30,"indepvar2",1.035,0.991,1.080
31,"indepvar1 1 vs 0",0.916,0.407,2.058
31,"indepvar2",1.009,0.965,1.055
32,"indepvar1 1 vs 0",1.561,0.703,3.467
32,"indepvar2",1.014,0.975,1.055
33,"indepvar1 1 vs 0",1.085,0.481,2.449
33,"indepvar2",1.038,0.996,1.082
34,"indepvar1 1 vs 0",1.743,0.780,3.894
34,"indepvar2",1.017,0.976,1.061
35,"indepvar1 1 vs 0",1.009,0.452,2.252
35,"indepvar2",1.030,0.992,1.069
36,"indepvar1 1 vs 0",0.909,0.405,2.040
36,"indepvar2",0.987,0.948,1.028
37,"indepvar1 1 vs 0",0.845,0.381,1.874
37,"indepvar2",0.976,0.934,1.021
38,"indepvar1 1 vs 0",0.909,0.413,2.002
38,"indepvar2",1.008,0.966,1.051
39,"indepvar1 1 vs 0",0.987,0.447,2.179
39,"indepvar2",1.027,0.978,1.078
40,"indepvar1 1 vs 0",0.954,0.432,2.108
40,"indepvar2",0.984,0.941,1.029
41,"indepvar1 1 vs 0",1.068,0.482,2.365
41,"indepvar2",0.994,0.955,1.034
42,"indepvar1 1 vs 0",1.012,0.458,2.233
42,"indepvar2",0.972,0.928,1.019
43,"indepvar1 1 vs 0",1.095,0.492,2.436
