ITERATION,GROUPID,CASE,INDEPVAR1,INDEPVAR2
0,1,1,1,95.97473811
0,1,0,1,101.93821167
0,1,0,0,98.488490034
0,2,1,1,88.570649098
0,2,0,0,99.536760007
0,2,0,1,93.38286484
0,3,1,0,111.83578406
0,3,0,1,112.64254521
0,3,0,0,95.977213331
0,4,1,1,102.53431124
0,4,0,0,102.1134206
0,4,0,0,104.94119223
0,5,1,0,88.991084693
0,5,0,1,103.33413113
0,5,0,0,93.519023101
0,6,1,0,92.290914303
0,6,0,0,99.630954933
0,6,0,0,102.60103176
0,7,1,1,86.241886377
0,7,0,1,77.325489796
0,7,0,0,97.730559587
0,8,1,1,108.6164991
0,8,0,0,101.93194156
0,8,0,1,110.0465941
0,9,1,0,101.4657622
0,9,0,0,101.27156863
0,9,0,0,100.19923696
0,10,1,1,96.322613704
0,10,0,0,123.97642111
0,10,0,1,85.422129304
0,11,1,1,112.45603574
0,11,0,1,118.41617908
0,11,0,1,94.232182932
0,12,1,1,91.209229681
0,12,0,0,97.634284821
0,12,0,1,93.449268648
0,13,1,1,96.622131577
0,13,0,0,78.240156758
0,13,0,0,99.238363785
0,14,1,1,120.17947612
0,14,0,0,114.09059198
0,14,0,0,113.25524315
0,15,1,1,117.33878942
0,15,0,0,101.93745099
0,15,0,1,103.01692822
0,16,1,1,103.26427443
0,16,0,1,94.845237137
0,16,0,1,100.71576299
0,17,1,0,94.194803473
0,17,0,0,115.53122948
0,17,0,1,81.895020072
0,18,1,1,88.977542631
0,18,0,1,103.89791543
0,18,0,1,91.597000998
0,19,1,1,95.560681893
0,19,0,0,94.947125742
0,19,0,1,102.30492022
0,20,1,0,94.837703528
0,20,0,1,93.169426738
0,20,0,1,112.17278684
0,21,1,1,107.53163489
0,21,0,0,116.92229614
0,21,0,0,88.524550378
0,22,1,1,94.466960285
0,22,0,0,89.648743045
0,22,0,1,107.63503045
0,23,1,0,81.93237023
0,23,0,0,94.494004227
0,23,0,1,108.06631709
0,24,1,1,93.680349955
0,24,0,1,114.12013435
0,24,0,1,109.66477808
0,25,1,1,101.96909388
0,25,0,0,71.730486123
0,25,0,1,103.41312155
0,26,1,0,94.219453787
0,26,0,0,93.73736195
0,26,0,1,68.592028431
0,27,1,1,103.37383219
0,27,0,1,102.28187622
0,27,0,1,98.554286948
0,28,1,1,95.066802471
0,28,0,1,120.68178377
0,28,0,0,123.98098217
0,29,1,1,88.903335299
0,29,0,1,110.95960337
0,29,0,1,75.114718986
0,30,1,1,113.69993411
0,30,0,0,104.12609353
0,30,0,0,97.857791504
0,31,1,0,91.223246425
0,31,0,1,93.933196505
0,31,0,1,120.92986126
0,32,1,1,91.263367733
0,32,0,1,105.90171183
0,32,0,1,84.681642067
0,33,1,1,101.15766446
0,33,0,0,107.29580389
0,33,0,1,104.37511378
0,34,1,1,109.09553323
0,34,0,1,94.909185504
0,34,0,0,88.794394987
0,35,1,1,95.700345857
0,35,0,0,99.644237377
0,35,0,0,95.945676333
0,36,1,0,93.599957266
0,36,0,1,92.697679127
0,36,0,0,112.24847453
0,37,1,0,94.717404188
0,37,0,1,103.30857358
0,37,0,1,99.517832868
0,38,1,1,97.714263911
0,38,0,0,102.48782506
0,38,0,1,104.97629184
0,39,1,1,102.18641745
0,39,0,0,98.234659791
0,39,0,1,93.231732502
0,40,1,1,108.25604567
0,40,0,1,98.530046643
0,40,0,0,97.344312305
0,41,1,1,108.75626625
0,41,0,0,98.769079352
0,41,0,0,87.928010417
0,42,1,0,107.50867574
0,42,0,1,76.705126755
0,42,0,1,101.68171884
0,43,1,0,102.09301712
0,43,0,1,98.122425488
0,43,0,1,92.322753546
0,44,1,0,111.43871639
0,44,0,0,113.72897078
0,44,0,0,105.1583969
0,45,1,1,91.325739598
0,45,0,1,98.665006263
0,45,0,0,126.11629791
0,46,1,1,100.82283437
0,46,0,0,107.7492877
0,46,0,1,91.9873695
0,47,1,1,97.547541572
0,47,0,0,97.622106281
0,47,0,1,93.733300437
0,48,1,1,112.58309487
0,48,0,0,84.947985408
0,48,0,1,103.63273369
0,49,1,0,88.13062058
0,49,0,1,119.16448494
0,49,0,1,104.49580199
0,50,1,1,94.194985346
0,50,0,1,94.120386836
0,50,0,0,89.247546842
0,51,1,0,107.41766955
0,51,0,1,91.10946348
0,51,0,1,102.18305007
0,52,1,1,103.05911668
0,52,0,0,97.037586295
0,52,0,0,94.127758139
0,53,1,1,113.9244577
0,53,0,1,105.05049918
0,53,0,0,96.170876003
0,54,1,1,106.14335594
0,54,0,0,102.21383798
0,54,0,0,87.074936048
0,55,1,0,92.627436326
0,55,0,1,81.517049919
0,55,0,1,98.63077091
0,56,1,1,102.31796287
0,56,0,0,94.421393183
0,56,0,1,100.2029973
0,57,1,1,110.78075555
0,57,0,1,88.492126828
0,57,0,1,108.25147505
0,58,1,1,106.99740674
0,58,0,0,96.77645796
0,58,0,0,105.45590166
0,59,1,1,89.069028356
0,59,0,0,127.85116696
0,59,0,0,110.32608249
0,60,1,0,112.67340973
0,60,0,1,101.42286409
0,60,0,1,102.91386558
0,61,1,1,108.9253752
0,61,0,1,88.187705658
0,61,0,0,109.87967162
0,62,1,1,106.96361131
0,62,0,1,86.612118398
0,62,0,1,91.126432491
0,63,1,1,127.32280506
0,63,0,0,99.475314627
0,63,0,0,115.95835598
0,64,1,1,104.0836815
0,64,0,1,109.80561219
0,64,0,1,120.55485369
0,65,1,1,98.539255402
0,65,0,0,98.464613029
0,65,0,0,94.689687233
0,66,1,0,96.34286247
0,66,0,1,105.23054455
0,66,0,0,99.062191161
0,67,1,1,99.819889917
0,67,0,1,99.011221935
0,67,0,1,78.308385148
0,68,1,0,93.971612353
0,68,0,1,97.866518245
0,68,0,1,105.05752843
0,69,1,0,108.48612379
0,69,0,0,106.03728482
0,69,0,1,91.42678898
0,70,1,0,106.70925267
0,70,0,0,93.12134192
0,70,0,1,94.541365036
0,71,1,0,97.721962132
0,71,0,1,94.186256346
0,71,0,0,105.84662733
0,72,1,0,99.193642188
0,72,0,0,70.014907716
0,72,0,1,112.45547236
0,73,1,0,113.15509563
0,73,0,0,108.91822175
0,73,0,0,96.950215663
0,74,1,0,107.40520786
0,74,0,0,108.29888661
0,74,0,1,97.816769658
0,75,1,0,82.586191806
0,75,0,1,99.348361928
0,75,0,1,87.147733135
0,76,1,1,107.9655374
0,76,0,0,103.75207102
0,76,0,0,102.41110918
0,77,1,1,101.08627
0,77,0,1,115.65577513
0,77,0,0,97.72391029
0,78,1,1,76.14491513
0,78,0,1,120.49747752
0,78,0,0,100.1025306
0,79,1,1,93.803719959
0,79,0,1,98.956187014
0,79,0,0,92.891332961
0,80,1,1,117.35323758
0,80,0,0,111.52812171
0,80,0,0,110.5452776
0,81,1,0,110.53282491
0,81,0,1,102.94175418
0,81,0,0,99.440604342
0,82,1,0,115.99907471
0,82,0,0,127.1040708
0,82,0,0,86.44583468
0,83,1,1,117.68509766
0,83,0,0,101.54641721
0,83,0,1,89.973564919
0,84,1,1,98.989492582
0,84,0,0,82.22933896
0,84,0,0,94.464043562
0,85,1,0,77.733383865
0,85,0,1,120.12182273
0,85,0,0,80.845342536
0,86,1,1,92.910486972
0,86,0,1,106.98161494
0,86,0,0,94.149404254
0,87,1,0,96.256166236
0,87,0,0,95.610628477
0,87,0,0,96.121327562
0,88,1,1,93.608949421
0,88,0,0,93.657757569
0,88,0,1,112.66099583
0,89,1,1,100.18206546
0,89,0,0,102.06599929
0,89,0,0,105.3473408
0,90,1,1,102.01951942
0,90,0,0,103.99010759
0,90,0,0,98.205129104
0,91,1,1,99.60101037
0,91,0,1,98.720352688
0,91,0,0,103.3343647
0,92,1,1,93.447756336
0,92,0,1,120.99153496
0,92,0,1,86.075278421
0,93,1,0,101.14852686
0,93,0,0,99.127214907
0,93,0,0,107.13586501
0,94,1,0,89.406219348
0,94,0,0,97.329582997
0,94,0,0,98.518411016
0,95,1,0,86.008560599
0,95,0,0,113.96420703
0,95,0,1,102.71978724
0,96,1,0,101.74518763
0,96,0,1,73.484508084
0,96,0,0,105.93248776
0,97,1,0,99.972003301
0,97,0,0,110.41951649
0,97,0,0,95.277660129
0,98,1,1,99.619617786
0,98,0,0,105.66049499
0,98,0,0,111.70595176
0,99,1,1,96.855460511
0,99,0,0,121.78937151
0,99,0,1,107.17384245
0,100,1,0,93.671485252
0,100,0,1,116.01425904
0,100,0,1,112.14013931
1,1,1,0,80.721448948
1,1,0,0,102.56111253
1,1,0,1,129.87853001
1,2,1,0,101.79897616
1,2,0,1,104.20227299
1,2,0,0,117.37644158
1,3,1,0,109.74019504
1,3,0,0,86.877947007
1,3,0,1,103.49494226
1,4,1,0,93.807789516
1,4,0,0,91.287987187
1,4,0,0,70.404596057
1,5,1,1,97.164220267
1,5,0,1,93.854008402
1,5,0,0,97.87916616
1,6,1,1,87.664022804
1,6,0,0,92.00570204
1,6,0,1,107.1346832
1,7,1,0,98.884843265
1,7,0,1,100.89430151
1,7,0,0,95.051948526
1,8,1,1,98.716098182
1,8,0,1,93.792976456
1,8,0,1,106.97042322
1,9,1,1,99.822124354
1,9,0,1,98.47323693
1,9,0,0,94.107250022
1,10,1,1,109.71787226
1,10,0,0,104.02532113
1,10,0,0,110.85467522
1,11,1,0,105.78862472
1,11,0,0,100.81663877
1,11,0,1,124.70339893
1,12,1,1,86.677827116
1,12,0,0,109.41944858
1,12,0,0,108.88482876
1,13,1,1,115.19205562
1,13,0,1,103.49423126
1,13,0,0,84.707400103
1,14,1,0,100.87214124
1,14,0,1,98.759647889
1,14,0,0,109.59815347
1,15,1,1,117.04078023
1,15,0,1,113.13507881
1,15,0,0,103.2784062
1,16,1,0,98.288720235
1,16,0,0,87.48918609
1,16,0,0,81.869572038
1,17,1,1,73.779751092
1,17,0,0,105.2583499
1,17,0,0,107.5901675
1,18,1,0,99.522896047
1,18,0,0,95.601856427
1,18,0,1,94.201705455
1,19,1,1,92.383774741
1,19,0,1,101.75571855
1,19,0,0,77.829955115
1,20,1,1,86.861988591
1,20,0,0,94.647341177
1,20,0,0,85.807742573
1,21,1,0,103.4834492
1,21,0,0,91.326339652
1,21,0,0,103.13964117
1,22,1,1,91.351232982
1,22,0,0,82.133740074
1,22,0,1,99.652290511
1,23,1,0,111.94337944
1,23,0,0,102.36420161
1,23,0,0,102.85939839
1,24,1,1,82.47849904
1,24,0,0,85.969046327
1,24,0,0,91.426755285
1,25,1,0,98.509229877
1,25,0,0,101.92200514
1,25,0,0,112.37292877
1,26,1,1,114.15558518
1,26,0,0,81.973946392
1,26,0,1,78.09364477
1,27,1,0,105.67384637
1,27,0,1,97.329793319
1,27,0,1,92.830611594
1,28,1,0,101.81698888
1,28,0,1,109.07996615
1,28,0,1,101.19433422
1,29,1,1,101.34124231
1,29,0,1,91.91864558
1,29,0,1,109.435159
1,30,1,1,99.415714167
1,30,0,0,121.79436744
1,30,0,1,114.34382148
1,31,1,1,105.87804012
1,31,0,0,115.05652415
1,31,0,0,100.90119266
1,32,1,1,83.521397426
1,32,0,0,96.47694948
1,32,0,0,92.48917318
1,33,1,1,78.36287832
1,33,0,0,98.502971203
1,33,0,1,110.92933465
1,34,1,0,119.88313877
1,34,0,0,108.90540493
1,34,0,0,96.090517104
1,35,1,0,93.495848603
1,35,0,0,104.67924816
1,35,0,1,100.23366471
1,36,1,0,112.78225865
1,36,0,0,89.605302179
1,36,0,0,96.449015953
1,37,1,1,88.577539353
1,37,0,0,108.35112642
1,37,0,1,115.76631885
1,38,1,1,95.453509536
1,38,0,0,99.840100547
1,38,0,0,89.866678716
1,39,1,1,113.61621151
1,39,0,0,100.89657899
1,39,0,1,114.53861684
1,40,1,0,97.339148182
1,40,0,0,88.960489534
1,40,0,0,78.005149847
1,41,1,0,96.730043906
1,41,0,1,95.744224632
1,41,0,1,104.33901766
1,42,1,1,112.86885452
1,42,0,0,91.88104499
1,42,0,0,94.412731166
1,43,1,0,93.774459979
1,43,0,0,103.57515034
1,43,0,0,87.084588175
1,44,1,0,87.023515164
1,44,0,0,103.56013928
1,44,0,1,94.072515038
1,45,1,1,81.64288512
1,45,0,1,94.183831626
1,45,0,1,95.935761285
1,46,1,0,99.423414046
1,46,0,0,100.24222938
1,46,0,0,101.3132543
1,47,1,1,86.252816708
1,47,0,1,104.08785405
1,47,0,1,85.087915657
1,48,1,1,117.83116436
1,48,0,0,91.796831021
1,48,0,0,105.48063441
1,49,1,1,109.31172107
1,49,0,0,79.402524793
1,49,0,1,94.81689202
1,50,1,1,95.758458998
1,50,0,1,94.349037408
1,50,0,0,113.91119359
1,51,1,0,109.69477158
1,51,0,0,106.10173717
1,51,0,0,112.60820282
1,52,1,1,81.017644457
1,52,0,0,83.14945462
1,52,0,1,100.57051103
1,53,1,0,97.009395198
1,53,0,0,115.87700506
1,53,0,0,102.00417499
1,54,1,1,100.39386831
1,54,0,1,104.13209757
1,54,0,0,95.556033705
1,55,1,0,106.30976984
1,55,0,0,101.44422762
1,55,0,1,103.03785328
1,56,1,1,95.916492598
1,56,0,0,102.84891858
1,56,0,1,109.22638263
1,57,1,0,116.79557528
1,57,0,0,94.339016141
1,57,0,0,104.52496677
1,58,1,0,107.29986291
1,58,0,0,91.172493704
1,58,0,0,89.434956649
1,59,1,0,100.75872463
1,59,0,0,104.96751196
1,59,0,1,97.84288223
1,60,1,0,128.80322746
1,60,0,1,107.16321294
1,60,0,1,97.124553557
1,61,1,1,82.067246819
1,61,0,1,115.28736652
1,61,0,1,94.051287759
1,62,1,1,106.9037885
1,62,0,0,111.17305285
1,62,0,1,114.81164859
1,63,1,1,75.659144677
1,63,0,1,103.67367623
1,63,0,0,114.97464619
1,64,1,1,97.291261059
1,64,0,0,115.77869169
1,64,0,1,98.502050317
1,65,1,1,108.33427437
1,65,0,0,88.094043571
1,65,0,1,98.409671111
1,66,1,1,77.37396553
1,66,0,1,105.41216602
1,66,0,1,80.844985078
1,67,1,1,103.70292459
1,67,0,1,106.32116164
1,67,0,0,99.041963702
1,68,1,1,81.692426306
1,68,0,0,99.387908312
1,68,0,1,101.50990153
1,69,1,1,109.01215334
1,69,0,0,121.52433531
1,69,0,0,94.595134844
1,70,1,1,99.201467782
1,70,0,1,107.02069107
1,70,0,1,99.280617943
1,71,1,0,98.042193873
1,71,0,0,104.48385675
1,71,0,0,94.904496343
1,72,1,1,82.840744501
1,72,0,0,90.151718827
1,72,0,0,110.4327827
1,73,1,1,96.68553414
1,73,0,0,99.39310966
1,73,0,0,110.04925112
1,74,1,0,101.72708561
1,74,0,0,110.46350364
1,74,0,0,103.81669735
1,75,1,0,110.30855104
1,75,0,1,104.03063423
1,75,0,0,91.315368109
1,76,1,0,98.371584805
1,76,0,1,104.29536811
1,76,0,0,98.549852196
1,77,1,0,90.732385231
1,77,0,0,96.394700015
1,77,0,0,105.3921734
1,78,1,1,88.987707716
1,78,0,0,91.543623484
1,78,0,0,105.40442102
1,79,1,0,105.94259587
1,79,0,0,91.420803329
1,79,0,1,103.79815304
1,80,1,1,107.31307886
1,80,0,1,105.94835242
1,80,0,0,100.19848692
1,81,1,1,106.02887363
1,81,0,0,110.98517564
1,81,0,0,99.343672423
1,82,1,1,123.78285522
1,82,0,0,80.815989397
1,82,0,1,92.747855164
1,83,1,1,96.912556867
1,83,0,1,89.271297954
1,83,0,0,102.12875372
