ITERATION,ID,DEPVAR,INDEPVAR1,INDEPVAR2,INDEPVAR3
0,1,88,1,1,-39.61
0,2,102,0,0,163.69
0,3,111,1,1,98.44
0,4,107,1,2,-57.95
0,5,97,0,0,37.99
0,6,122,1,2,-76.77
0,7,98,0,3,-46.22
0,8,116,0,3,42.52
0,9,98,0,3,-123.24
0,10,88,1,2,10.28
0,11,96,1,3,-73.6
0,12,105,1,2,98.68
0,13,106,0,2,204.21
0,14,108,0,2,99.9
0,15,98,1,1,-32.59
0,16,115,1,3,-172.73
0,17,95,0,3,-56.4
0,18,94,1,3,26.82
0,19,96,0,1,113.77
0,20,91,0,2,-34.06
0,21,110,1,1,40.79
0,22,92,1,2,132.82
0,23,97,0,3,9.59
0,24,111,1,3,-33.96
0,25,102,0,2,29.82
0,26,105,1,3,95.83
0,27,103,1,2,-202.15
0,28,98,1,0,48.26
0,29,95,1,0,172.55
0,30,101,0,1,-42.17
0,31,125,0,2,-30.56
0,32,110,0,0,-80.32
0,33,116,1,3,39.14
0,34,100,0,0,-95.77
0,35,99,1,0,105.4
0,36,118,1,0,-31.43
0,37,82,1,3,82.75
0,38,110,0,1,-16.01
0,39,92,1,0,240.41
0,40,98,1,2,100.13
0,41,85,1,3,-78.27
0,42,85,1,1,-50.36
0,43,109,0,3,214.88
0,44,115,1,2,191.23
0,45,114,0,0,-182.89
0,46,106,1,1,-104.19
0,47,103,0,3,-40.88
0,48,92,0,2,-69.94
0,49,103,0,3,-32.39
0,50,91,1,2,53.17
0,51,94,0,1,115.49
0,52,101,0,0,-105.96
0,53,105,0,2,85.79
0,54,100,0,1,-300.41
0,55,88,1,1,231.79
0,56,80,0,3,57.23
0,57,97,1,1,-66.21
0,58,104,0,1,140.25
0,59,114,1,2,-70.46
0,60,99,1,3,16.64
0,61,96,0,1,119.79
0,62,101,0,1,-138.9
0,63,109,1,1,-91.02
0,64,84,1,2,71.91
0,65,91,1,1,-20.98
0,66,92,0,0,37.59
0,67,113,0,3,39.17
0,68,97,0,1,138.98
0,69,99,0,0,-170.71
0,70,107,0,3,-254.55
0,71,106,0,3,-28.28
0,72,87,1,2,68.75
0,73,106,1,1,-62.18
0,74,111,1,0,-103.89
0,75,100,1,1,-93.98
0,76,94,0,3,-197.86
0,77,99,0,0,44.31
0,78,106,0,3,-83.97
0,79,123,0,1,170.06
0,80,109,0,2,9.71
0,81,99,0,1,-101.24
0,82,92,0,0,-205.85
0,83,124,1,2,-3.39
0,84,89,1,0,153.7
0,85,101,1,1,45.32
0,86,104,0,2,77.3
0,87,91,0,1,-209.97
0,88,102,0,3,28.3
0,89,87,0,1,-30.65
0,90,92,1,1,20
0,91,104,1,2,66.87
0,92,107,0,3,-16.61
0,93,117,1,0,-17.63
0,94,103,0,3,85.06
0,95,106,0,3,91.84
0,96,116,0,1,225.63
0,97,118,1,1,41.82
0,98,94,1,0,-28.7
0,99,106,0,3,-95.43
0,100,85,0,3,-24.78
1,1,87,1,0,177.77
1,2,114,1,2,-60.5
1,3,96,0,1,-38.14
1,4,111,0,3,-10.82
1,5,111,1,1,-189.68
1,6,88,1,2,21.89
1,7,103,0,0,55.47
1,8,95,0,0,129.88
1,9,93,0,1,150.99
1,10,93,1,3,177.9
1,11,92,0,3,45.82
1,12,102,0,0,83.46
1,13,95,1,2,107.3
1,14,94,0,0,71.71
1,15,107,1,1,166.5
1,16,106,1,2,-80.3
1,17,94,0,3,-96.15
1,18,93,0,3,49.42
1,19,107,0,1,12.99
1,20,101,0,3,98.34
1,21,99,1,2,-20.17
1,22,92,0,2,-105.25
1,23,93,1,3,172.01
1,24,123,0,3,-84.64
1,25,103,0,1,15.92
1,26,109,1,3,-9.61
1,27,109,1,2,15.5
1,28,112,1,2,145.12
1,29,84,1,2,103.33
1,30,104,0,0,251.86
1,31,125,0,1,51.12
1,32,96,0,2,54.5
1,33,96,1,3,24.1
1,34,81,0,3,97.75
1,35,110,1,3,54.8
1,36,105,1,0,199.36
1,37,91,0,2,-7.24
1,38,98,1,2,-31.53
1,39,92,1,0,-90.55
1,40,97,0,3,-48.67
1,41,99,1,3,22.51
1,42,111,0,1,63.88
1,43,104,1,2,-199.87
1,44,104,1,3,-20.87
1,45,100,0,2,-45.24
1,46,93,1,3,-118.92
1,47,122,0,2,-68.99
1,48,98,0,3,-68.68
1,49,105,0,0,-59.96
1,50,111,1,1,88.03
1,51,125,1,2,34.75
1,52,93,0,2,-58.04
1,53,114,1,0,-23.3
1,54,117,0,0,130.32
1,55,106,1,1,-33.4
1,56,99,0,3,67.98
1,57,82,1,0,187.72
1,58,87,1,1,-110.55
1,59,87,0,2,166.14
1,60,108,1,2,46.9
1,61,95,1,0,32.92
1,62,100,1,0,-132.47
1,63,102,0,0,180.03
1,64,106,0,2,-8.85
1,65,99,1,0,25.76
1,66,102,0,3,-113.33
1,67,78,1,0,-104.09
1,68,110,1,2,24.05
1,69,104,0,0,43.28
1,70,104,0,0,-95.9
1,71,114,1,2,256.55
1,72,105,0,2,-30.32
1,73,102,1,3,-107.71
1,74,98,1,2,-18.3
1,75,108,0,1,228.22
1,76,104,1,1,-82.18
1,77,88,0,0,-28.6
1,78,97,0,2,0.41
1,79,112,0,2,76.98
1,80,95,0,3,-113.93
1,81,82,0,0,-110.16
1,82,100,0,0,-17.4
1,83,99,0,1,31.5
1,84,94,0,0,220.67
1,85,108,0,0,-179.49
1,86,90,1,1,61.66
1,87,87,0,3,-148.54
1,88,113,0,1,-50.3
1,89,94,0,0,-6.6
1,90,98,0,2,21.16
1,91,94,1,3,-89.68
1,92,92,0,0,-17.54
1,93,93,1,0,27.69
