ITERATION,ID,DEPVAR,INDEPVAR1,INDEPVAR2
0,1,1,0,100.42715533
0,2,0,1,93.517555436
0,3,1,0,85.280901934
0,4,0,1,100.37568084
0,5,1,1,89.497177177
0,6,0,1,101.74043449
0,7,1,0,92.415233908
0,8,0,0,111.74091102
0,9,1,1,89.01450113
0,10,0,0,113.92928974
0,11,0,1,103.80669664
0,12,0,0,97.816909309
0,13,1,0,99.500297453
0,14,0,1,98.648709802
0,15,1,1,126.19840377
0,16,0,1,76.850771252
0,17,1,0,112.29963822
0,18,1,0,85.775618094
0,19,0,0,103.48121318
0,20,1,1,98.16930041
0,21,0,0,99.384544273
0,22,0,1,84.980787825
0,23,1,0,97.766921479
0,24,0,1,88.194688792
0,25,1,0,91.860412092
0,26,1,0,104.3592877
0,27,0,1,87.484440046
0,28,1,0,103.67321212
0,29,1,1,112.85202514
0,30,1,1,112.51706565
0,31,0,1,88.393696716
0,32,0,1,92.864489078
0,33,0,0,98.667127555
0,34,0,1,101.79441777
0,35,0,1,92.685861813
0,36,0,0,93.426336232
0,37,1,1,122.33488377
0,38,1,1,103.80419865
0,39,0,1,98.966252485
0,40,0,1,99.25572412
0,41,1,1,112.57565321
0,42,0,0,102.28086723
0,43,1,0,101.68689971
0,44,0,0,85.56754361
0,45,1,1,104.19216733
0,46,1,1,110.31948781
0,47,0,1,102.82168351
0,48,0,0,105.81731596
0,49,1,1,97.692375451
0,50,0,0,90.978706298
0,51,1,1,91.515599597
0,52,1,1,83.099026071
0,53,1,0,91.685032814
0,54,0,0,93.620477793
0,55,0,0,116.13286737
0,56,1,0,112.37906737
0,57,1,0,86.208349382
0,58,0,0,86.977704321
0,59,1,0,107.23101969
0,60,1,0,97.803272482
0,61,0,0,96.367631831
0,62,0,0,110.99298209
0,63,1,0,84.888113089
0,64,0,1,96.711633083
0,65,0,1,119.88101616
0,66,0,0,96.117545291
0,67,0,0,113.60446146
0,68,1,1,100.86473716
0,69,0,0,101.6641276
0,70,1,1,105.95196026
0,71,0,0,115.16645038
0,72,1,0,123.09741734
0,73,1,1,97.641538332
0,74,1,0,115.52603602
0,75,0,1,116.89937966
0,76,0,1,106.99279497
0,77,1,0,90.517849271
0,78,0,1,104.60619502
0,79,1,0,103.66217459
0,80,0,0,90.069237137
0,81,0,0,104.82130082
0,82,1,0,104.28981146
0,83,0,1,102.79493723
0,84,0,0,114.27360497
0,85,1,1,90.621612764
0,86,1,1,107.54518901
0,87,0,0,115.13156449
0,88,0,1,83.381929269
0,89,1,1,87.971332218
0,90,1,0,100.73386304
0,91,0,1,97.156189482
0,92,1,0,90.523205967
0,93,1,1,113.03142252
0,94,1,0,92.180818023
0,95,0,1,106.42813494
0,96,0,1,88.924986253
0,97,0,0,104.32602015
0,98,1,0,95.499318214
0,99,1,0,96.313191179
0,100,0,1,108.05318032
1,1,1,1,113.22289373
1,2,0,1,79.565023912
1,3,1,1,114.02701374
1,4,1,1,99.207101734
1,5,1,0,92.653220398
1,6,1,0,106.53906171
1,7,0,1,97.023209369
1,8,1,0,125.20767999
1,9,0,1,106.74830716
1,10,0,0,108.05368794
1,11,1,0,93.976178284
1,12,1,0,82.705216646
1,13,0,1,88.216948295
1,14,1,1,98.608943623
1,15,0,1,90.102038177
1,16,1,1,84.902622853
1,17,0,0,97.466592229
1,18,0,0,98.134215553
1,19,1,0,86.04009196
1,20,0,1,100.04933727
1,21,0,0,103.33886459
1,22,0,0,89.318184333
1,23,0,0,100.47592285
